GID,DATE,VENDOR,STAGE,FEEDBACK_AREA,SOURCE,FEEDBACK_TYPE,CRITICALITY,ACTION_TAKEN_BY_VENDOR,instance,ID
SCI,2023-12-05,Alpha Press,Binding,Illustrations,Internal,Negative,Medium,Addressed,1,SCI2312051
POE,2024-11-04,Beta books,Typesetting,Body Text,External,Negative,High,Pending,1,POE2411041
POE,2023-01-10,Beta Books,Typesetting,Front Cover,Internal,Negative,Low,Revised,1,POE2301101
FIC,2024-04-03,Thomson Press,Typesetting,Front Cover,Internal,Negative,Medium,Rejected,1,FIC2404031
COM,2023-12-20,alpha press,Proofreading,Back Cover,Internal,Negative,Medium,Addressed,1,COM2312201
THR,2024-03-04,Thomson Press,Manuscript,Illustrations,Internal,Negative,Medium,Pending,1,THR2403041
ROM,2023-03-02,Beta books,Manuscript,Front Cover,Internal,Negative,Medium,Addressed,1,ROM2303021
POE,2023-04-03,Alpha Press,Printing,Body Text,Internal,Negative,Medium,Rejected,1,POE2304031
THR,2023-04-17,alpha press,Manuscript,Reference Section,External,Negative,Medium,Pending,1,THR2304171
COM,2023-08-21,Epsilon Ltd.,Proofreading,Back Cover,Internal,Negative,Low,Accepted,1,COM2308211
THR,2023-04-19,AlBe Publishing,Typesetting,Reference Section,External,Negative,Low,,1,THR2304191
ROM,2024-09-16,Beta books,Printing,Index,External,Negative,Medium,Addressed,1,ROM2409161
ROM,2024-09-26,Epsilon Ltd.,Proofreading,Index,Internal,Negative,Low,Pending,1,ROM2409261
HIS,2023-06-26,Epsilon Ltd.,Printing,Reference Section,Internal,Negative,Medium,Pending,1,HIS2306261
ROM,2023-08-12,Epsilon Ltd.,Proofreading,Front Cover,External,Negative,High,Accepted,1,ROM2308121
POE,2024-09-28,Gamma Publishing,Proofreading,Illustrations,Internal,Negative,Low,Revised,1,POE2409281
BIO,2023-04-08,Beta books,Manuscript,Reference Section,Internal,Negative,High,Accepted,1,BIO2304081
THR,2024-07-28,Thomson Press,Binding,Illustrations,External,Negative,High,Pending,1,THR2407281
SCI,2024-01-21,Thomson Press,Proofreading,Index,Internal,Negative,Low,Revised,1,SCI2401211
HIS,2023-01-05,Gamma Publishing,Manuscript,front cover,Internal,Negative,Medium,Revised,1,HIS2301051
FIC,2024-08-20,Delta Inc.,Manuscript,Index,Internal,Negative,Low,Pending,1,FIC2408201
POE,2024-04-14,Alpha Press,Typesetting,Back Cover,Internal,Negative,Low,Accepted,1,POE2404141
POE,2024-11-18,alpha press,Manuscript,Back Cover,Internal,Negative,Medium,Accepted,1,POE2411181
BIO,2023-01-07,AlBe Publishing,Typesetting,Back Cover,External,Negative,High,Accepted,1,BIO2301071
THR,2024-10-31,alpha press,Printing,Illustrations,Internal,Negative,Low,Revised,1,THR2410311
POE,2023-10-07,Alpha Press,Manuscript,Reference Section,Internal,Negative,Low,Revised,1,POE2310071
BIO,2023-11-20,Gamma Publishing,Typesetting,Reference Section,Internal,Negative,Medium,Revised,1,BIO2311201
BIO,2023-04-04,Delta Inc.,Printing,Front Cover,External,Negative,High,Addressed,1,BIO2304041
COM,2023-06-27,Gamma Publishing,Manuscript,Front Cover,External,Negative,High,Addressed,1,COM2306271
THR,2023-02-08,alpha press,Typesetting,Illustrations,Internal,Negative,Low,Revised,1,THR2302081
THR,2024-10-09,Alpha Press,Typesetting,Body,Internal,Negative,Low,Rejected,1,THR2410091
HIS,2023-03-13,Epsilon Ltd.,Proofreading,Back Cover,Internal,Negative,Low,Addressed,1,HIS2303131
COM,2023-05-01,Epsilon Ltd.,Printing,Index,Internal,Negative,High,Rejected,1,COM2305011
POE,2023-08-27,Beta books,Binding,Back Cover,External,Negative,High,Accepted,1,POE2308271
BIO,2023-02-02,Beta books,Proofreading,Front Cover,External,Negative,Low,Addressed,1,BIO2302021
COM,2023-09-06,Beta Books,Typesetting,Front Cover,External,Negative,Low,Accepted,1,COM2309061
BIO,2024-07-10,Beta books,Proofreading,Reference Section,Internal,Negative,Low,Revised,1,BIO2407101
ROM,2023-04-23,Alpha Press,Proofreading,Front Cover,Internal,Negative,Medium,Accepted,1,ROM2304231
COM,2024-12-23,Gamma Publishing,Printing,Index,External,Negative,High,Accepted,1,COM2412231
COM,2023-08-14,Alpha Press,Binding,Body Text,Internal,Negative,High,Rejected,1,COM2308141
FIC,2024-03-08,Thomson Press,Typesetting,Index,External,Negative,High,Pending,1,FIC2403081
THR,2024-05-23,Gamma Publishing,Proofreading,Front Cover,External,Negative,High,Rejected,1,THR2405231
BIO,2023-01-11,Epsilon Ltd.,Typesetting,Body Text,External,Negative,Low,Revised,1,BIO2301111
HIS,2024-09-16,Epsilon Ltd.,Printing,Front Cover,Internal,Negative,High,Addressed,2,HIS2409162
THR,2024-05-16,Thomson Press,Printing,Reference Section,Internal,Negative,Low,Pending,1,THR2405161
ROM,2023-09-24,Thomson Press,Typesetting,Back Cover,Internal,Negative,High,Accepted,1,ROM2309241
POE,2023-12-02,Alpha Press,Typesetting,Index,External,Negative,Medium,Revised,1,POE2312021
ROM,2023-11-23,AlBe Publishing,Printing,Index,Internal,Negative,Low,Rejected,1,ROM2311231
THR,2023-08-26,alpha press,Typesetting,Front Cover,External,Negative,High,Addressed,1,THR2308261
ROM,2024-08-29,Thomson Press,Printing,Index,External,Negative,High,Rejected,1,ROM2408291
POE,2023-11-21,alpha press,Typesetting,Illustrations,Internal,Negative,Medium,Addressed,1,POE2311211
POE,2024-11-04,alpha press,proof reading,Index,Internal,Negative,Low,Revised,2,POE2411042
THR,2024-12-16,Alpha Press,Printing,Front Cover,External,Negative,High,Addressed,1,THR2412161
POE,2023-02-04,AlBe Publishing,Typesetting,Reference Section,Internal,Negative,Low,Pending,1,POE2302041
THR,2020-01-01,Beta books,Manuscript,Back Cover,Internal,Negative,High,Revised,1,THR2311111
HIS,2024-07-28,Beta Books,Printing,Index,External,Negative,High,Pending,2,HIS2407282
POE,2023-02-01,Gamma Publishing,Manuscript,Reference Section,Internal,Negative,High,Addressed,1,POE2302011
HIS,2024-10-02,Beta books,Manuscript,Body Text,Internal,Negative,High,Accepted,1,HIS2410021
SCI,2023-03-24,Thomson Press,Binding,front cover,External,Negative,Low,Pending,1,SCI2303241
ROM,2024-01-17,Thomson Press,Binding,Back Cover,Internal,Negative,Low,Pending,1,ROM2401171
COM,2024-11-09,Epsilon Ltd.,Binding,Illustrations,External,Negative,Low,Accepted,1,COM2411091
BIO,2024-05-05,AlBe Publishing,Proofreading,Back Cover,Internal,Negative,Medium,Addressed,1,BIO2405051
SCI,2023-02-28,Beta Books,Manuscript,Reference Section,Internal,Negative,Low,Addressed,1,SCI2302281
ROM,2023-01-23,Alpha Press,Typesetting,Back Cover,External,Negative,Medium,Rejected,1,ROM2301231
FIC,2023-06-17,Epsilon Ltd.,Typesetting,Illustrations,Internal,Negative,High,Rejected,1,FIC2306171
BIO,2024-05-22,Epsilon Ltd.,Binding,Reference Section,Internal,Negative,Low,Revised,1,BIO2405221
POE,2024-01-05,AlBe Publishing,Proofreading,Front Cover,Internal,Negative,Medium,Revised,1,POE2401051
HIS,2023-11-29,AlBe Publishing,Proofreading,Body Text,Internal,Negative,Medium,Accepted,1,HIS2311291
THR,2024-11-22,Delta Inc.,Typesetting,Back Cover,Internal,Negative,Low,Revised,1,THR2411221
COM,2023-05-07,alpha press,Typesetting,Back Cover,Internal,Negative,High,Rejected,1,COM2305071
COM,2023-07-20,Delta Inc.,Typesetting,Front Cover,Internal,Negative,Low,Accepted,1,COM2307201
SCI,2023-05-17,Beta Books,Printing,Back Cover,Internal,Negative,High,Revised,1,SCI2305171
FIC,2024-02-24,Delta Inc.,Typesetting,Back Cover,External,Negative,Low,Accepted,2,FIC2402242
COM,2024-08-11,Gamma Publishing,Printing,Front Cover,Internal,Negative,Medium,Revised,2,COM2408112
SCI,2023-08-11,Delta Inc.,Typesetting,Illustrations,External,Negative,Low,Accepted,1,SCI2308111
BIO,2020-01-01,AlBe Publishing,Typesetting,Body Text,Internal,Negative,High,Accepted,1,BIO2410081
SCI,2023-07-05,Thomson Press,Typesetting,Illustrations,External,Negative,Medium,Revised,1,SCI2307051
COM,2023-07-25,Thomson Press,Manuscript,Front Cover,Internal,Positive,High,Pending,1,COM2307251
ROM,2023-07-24,Delta Inc.,Manuscript,Body Text,External,Negative,Medium,Accepted,1,ROM2307241
HIS,2023-05-10,Beta books,Proofreading,Index,Internal,Negative,Low,Rejected,1,HIS2305101
ROM,2024-07-09,Epsilon Ltd.,Proofreading,Illustrations,External,Negative,Low,Pending,1,ROM2407091
COM,2024-08-26,AlBe Publishing,Manuscript,Reference Section,External,Negative,Medium,Pending,1,COM2408261
POE,2023-02-14,Gamma Publishing,Manuscript,Illustrations,External,Negative,Medium,Rejected,1,POE2302141
HIS,2023-10-03,AlBe Publishing,Proofreading,front cover,External,Negative,Low,Pending,1,HIS2310031
ROM,2023-02-09,AlBe Publishing,Proofreading,Body Text,Internal,Negative,Low,Accepted,2,ROM2302092
HIS,2024-09-04,AlBe Publishing,Manuscript,Back Cover,External,Positive,Medium,Accepted,2,HIS2409042
COM,2023-02-09,Alpha Press,Manuscript,Index,Internal,Negative,Medium,Revised,3,COM2302093
COM,2023-02-28,Beta Books,Proofreading,Index,Internal,Negative,Low,Rejected,2,COM2302282
FIC,2023-03-19,Beta books,Typesetting,Body Text,External,Negative,Low,Rejected,1,FIC2303191
HIS,2023-03-26,AlBe Publishing,Printing,Front Cover,Internal,Negative,Medium,Revised,1,HIS2303261
THR,2023-02-03,Alpha Press,Manuscript,Index,External,Negative,High,Revised,2,THR2302032
SCI,2024-06-16,Gamma Publishing,Typesetting,Front Cover,External,Negative,Low,Rejected,1,SCI2406161
BIO,2023-03-16,alpha press,Typesetting,Index,External,Negative,Medium,Revised,1,BIO2303161
POE,2023-07-28,Delta Inc.,Printing,Reference Section,External,Negative,Medium,Rejected,1,POE2307281
HIS,2024-02-26,Delta Inc.,Manuscript,Front Cover,Internal,Negative,Medium,Accepted,1,HIS2402261
THR,2023-11-17,Beta books,Binding,Body Text,Internal,Negative,High,Rejected,1,THR2311171
ROM,2024-10-29,Beta Books,Binding,Illustrations,Internal,Negative,High,Accepted,1,ROM2410291
FIC,2023-08-31,AlBe Publishing,Typesetting,Body Text,External,Negative,High,Addressed,1,FIC2308311
FIC,2023-12-18,Delta Inc.,Binding,Front Cover,External,Negative,High,Addressed,1,FIC2312181
SCI,2024-07-14,Epsilon Ltd.,Binding,Illustrations,External,Negative,Low,Accepted,1,SCI2407141
SCI,2024-09-30,Beta Books,Typesetting,Body Text,External,Negative,High,Accepted,1,SCI2409301
COM,2023-06-24,Alpha Press,Proofreading,front cover,External,Negative,Low,Accepted,1,COM2306241
COM,2024-10-02,alpha press,Proofreading,Back Cover,External,Negative,Low,Pending,2,COM2410022
BIO,2024-07-16,AlBe Publishing,Proofreading,Index,Internal,Negative,Medium,Pending,1,BIO2407161
BIO,2024-05-20,alpha press,Printing,Reference Section,External,Negative,High,Addressed,2,BIO2405202
COM,2023-12-08,Alpha Press,Typesetting,Illustrations,External,Negative,High,Accepted,1,COM2312081
ROM,2024-01-09,Beta Books,Printing,Index,External,Negative,High,Rejected,1,ROM2401091
POE,2023-05-01,Delta Inc.,Proofreading,Illustrations,Internal,Negative,Low,Accepted,2,POE2305012
HIS,2023-10-02,Beta books,Proofreading,Illustrations,External,Negative,Medium,Rejected,1,HIS2310021
HIS,2024-03-20,alpha press,Typesetting,Index,External,Negative,Medium,Accepted,1,HIS2403201
SCI,2023-07-12,Beta Books,Binding,Body Text,External,Negative,Low,Revised,1,SCI2307121
BIO,2024-05-13,AlBe Publishing,Typesetting,Front Cover,External,Negative,Low,Rejected,1,BIO2405131
BIO,2023-11-18,alpha press,Manuscript,Reference Section,Internal,Positive,Medium,Rejected,1,BIO2311181
ROM,2023-06-22,Delta Inc.,Typesetting,Index,External,Negative,Medium,Addressed,1,ROM2306221
COM,2024-01-11,Epsilon Ltd.,Binding,Back Cover,Internal,Positive,High,Pending,1,COM2401111
THR,2024-10-22,Gamma Publishing,Binding,Body Text,External,Negative,High,Rejected,1,THR2410221
FIC,2024-04-23,AlBe Publishing,Typesetting,Body Text,Internal,Negative,Low,Accepted,1,FIC2404231
HIS,2023-01-27,alpha press,Proofreading,Back Cover,External,Negative,High,Pending,1,HIS2301271
ROM,2023-07-20,Epsilon Ltd.,Binding,Index,External,Negative,Medium,Pending,2,ROM2307202
POE,2023-05-03,Gamma Publishing,Manuscript,Reference Section,Internal,Negative,Low,Revised,1,POE2305031
ROM,2024-06-12,Gamma Publishing,Proofreading,Index,Internal,Negative,High,,1,ROM2406121
BIO,2023-03-25,Gamma Publishing,Typesetting,Front Cover,External,Negative,Medium,Addressed,1,BIO2303251
FIC,2023-04-04,alpha press,Manuscript,Front Cover,Internal,Negative,Low,Pending,2,FIC2304042
POE,2024-05-03,Thomson Press,Typesetting,Back Cover,External,Negative,Low,Accepted,1,POE2405031
THR,2024-04-05,alpha press,Proofreading,Reference Section,Internal,Negative,Low,Addressed,1,THR2404051
THR,2024-11-13,Beta books,Proofreading,Body Text,Internal,Negative,Low,Accepted,1,THR2411131
SCI,2024-04-11,alpha press,Manuscript,Front Cover,External,Negative,Low,Rejected,1,SCI2404111
SCI,2024-09-08,Beta books,Binding,Back Cover,Internal,Negative,High,Accepted,2,SCI2409082
THR,2024-07-29,Thomson Press,Binding,Front Cover,Internal,Negative,Medium,Accepted,1,THR2407291
FIC,2024-08-25,Thomson Press,Printing,Reference Section,External,Negative,Medium,Accepted,1,FIC2408251
BIO,2023-05-08,alpha press,Printing,Illustrations,Internal,Negative,Low,Addressed,1,BIO2305081
POE,2023-05-19,Delta Inc.,Proofreading,Illustrations,External,Negative,Low,Revised,1,POE2305191
FIC,2024-12-16,Epsilon Ltd.,Binding,Front Cover,External,Negative,High,Rejected,2,FIC2412162
ROM,2023-10-30,Gamma Publishing,Binding,Body Text,External,Negative,Medium,Addressed,1,ROM2310301
ROM,2023-09-19,Beta Books,Printing,Front Cover,Internal,Negative,Low,Revised,1,ROM2309191
COM,2024-07-09,Thomson Press,Binding,Front Cover,External,Negative,Medium,Rejected,2,COM2407092
FIC,2024-04-13,Epsilon Ltd.,Printing,Back Cover,Internal,Negative,High,Revised,1,FIC2404131
COM,2023-07-13,AlBe Publishing,Printing,Back Cover,Internal,Negative,High,Rejected,1,COM2307131
ROM,2023-07-15,AlBe Publishing,proof reading,Illustrations,External,Negative,Medium,Revised,1,ROM2307151
HIS,2023-08-30,Delta Inc.,Proofreading,Front Cover,Internal,Negative,Medium,Accepted,1,HIS2308301
ROM,2023-07-16,Delta Inc.,Printing,Index,External,Negative,High,Accepted,1,ROM2307161
THR,2024-10-10,alpha press,Printing,Body Text,External,Negative,Low,Accepted,2,THR2410102
ROM,2023-05-17,Delta Inc.,Binding,Reference Section,Internal,Negative,Medium,Accepted,3,ROM2305173
HIS,2023-06-02,Gamma Publishing,Typesetting,Index,Internal,Negative,High,,1,HIS2306021
HIS,2024-08-11,Beta books,Printing,Index,Internal,Negative,Medium,Pending,3,HIS2408113
BIO,2023-08-15,Epsilon Ltd.,Binding,Illustrations,Internal,Negative,High,Pending,1,BIO2308151
THR,2024-05-25,Gamma Publishing,Binding,Body Text,External,Negative,Low,Pending,1,THR2405251
COM,2023-03-27,Beta Books,Proofreading,front cover,External,Negative,Low,Addressed,2,COM2303272
HIS,2024-02-26,Delta Inc.,Typesetting,Body Text,Internal,Negative,Medium,Revised,2,HIS2402262
COM,2023-04-01,Alpha Press,Binding,Body Text,External,Negative,Low,Accepted,1,COM2304011
FIC,2023-11-23,Beta Books,Typesetting,Illustrations,Internal,Negative,Low,Addressed,2,FIC2311232
THR,2024-09-14,Beta Books,Binding,Index,External,Negative,High,Accepted,1,THR2409141
FIC,2024-11-29,Delta Inc.,Proofreading,Index,Internal,Negative,Medium,Rejected,1,FIC2411291
BIO,2024-06-09,Beta books,Binding,Back Cover,External,Negative,Low,Addressed,1,BIO2406091
COM,2023-08-12,Beta Books,Binding,Index,Internal,Negative,Low,Rejected,2,COM2308122
COM,2023-12-27,AlBe Publishing,Manuscript,Illustrations,Internal,Negative,Medium,Pending,1,COM2312271
COM,2024-09-10,AlBe Publishing,Binding,Reference Section,Internal,Negative,Low,Addressed,2,COM2409102
FIC,2023-01-05,Alpha Press,Proofreading,Body Text,External,Negative,Medium,Rejected,2,FIC2301052
COM,2023-08-29,Beta Books,Printing,Front Cover,Internal,Negative,Medium,Accepted,1,COM2308291
SCI,2020-01-01,Thomson Press,Printing,Back Cover,Internal,Negative,Medium,Rejected,2,SCI2404122
COM,2024-06-07,Alpha Press,Proofreading,Illustrations,External,Negative,Medium,Accepted,3,COM2406073
HIS,2023-04-19,AlBe Publishing,Manuscript,Index,External,Negative,High,Accepted,3,HIS2304193
THR,2023-07-30,Beta books,Printing,Back Cover,External,Negative,High,Pending,2,THR2307302
ROM,2024-04-19,Beta Books,Manuscript,Body Text,External,Negative,Medium,Rejected,1,ROM2404191
POE,2023-09-09,Beta Books,Proofreading,Front Cover,Internal,Negative,High,Pending,1,POE2309091
BIO,2024-01-29,AlBe Publishing,Typesetting,Body Text,External,Negative,Low,,1,BIO2401291
THR,2023-10-29,AlBe Publishing,Typesetting,Reference Section,Internal,Negative,Medium,Rejected,3,THR2310293
POE,2024-10-24,Epsilon Ltd.,Manuscript,Front Cover,Internal,Negative,Low,Rejected,2,POE2410242
POE,2024-02-03,Beta Books,Typesetting,Body Text,External,Negative,Low,Rejected,1,POE2402031
FIC,2024-10-11,Thomson Press,Binding,Reference Section,External,Negative,High,Revised,1,FIC2410111
FIC,2023-09-29,Thomson Press,Manuscript,Body Text,External,Negative,Medium,Revised,1,FIC2309291
BIO,2023-02-07,Delta Inc.,Manuscript,Reference Section,External,Negative,Medium,,1,BIO2302071
FIC,2023-11-10,Alpha Press,Proofreading,Index,External,Negative,High,Revised,1,FIC2311101
BIO,2024-07-12,Beta Books,Proofreading,Illustrations,External,Negative,High,Accepted,2,BIO2407122
COM,2023-11-08,alpha press,Binding,Index,External,Negative,Low,Pending,1,COM2311081
BIO,2023-02-18,Gamma Publishing,Binding,Reference Section,Internal,Negative,Medium,Rejected,1,BIO2302181
HIS,2024-05-24,Gamma Publishing,Typesetting,Back Cover,Internal,Negative,Medium,Accepted,1,HIS2405241
ROM,2023-04-20,AlBe Publishing,Manuscript,Reference Section,Internal,Negative,High,Rejected,2,ROM2304202
ROM,2020-01-01,Alpha Press,Manuscript,Reference Section,Internal,Negative,Medium,Pending,4,ROM2304194
THR,2024-05-31,Delta Inc.,Binding,Front Cover,Internal,Negative,Low,Rejected,1,THR2405311
BIO,2024-05-22,Beta books,Binding,Reference Section,Internal,Negative,Medium,Accepted,2,BIO2405222
THR,2024-05-04,Beta Books,Typesetting,Back Cover,External,Negative,Low,Rejected,1,THR2405041
THR,2023-06-19,Delta Inc.,Printing,Body Text,External,Negative,High,Revised,2,THR2306192
THR,2024-01-23,Gamma Publishing,Manuscript,Front Cover,Internal,Negative,Low,Rejected,1,THR2401231
THR,2023-05-25,Gamma Publishing,Printing,Index,External,Negative,Low,Revised,1,THR2305251
COM,2024-11-29,Delta Inc.,Printing,Back Cover,Internal,Negative,Medium,Accepted,2,COM2411292
SCI,2023-11-02,Beta Books,Proofreading,Illustrations,Internal,Negative,Low,Accepted,1,SCI2311021
THR,2024-09-12,Beta books,Manuscript,Body Text,Internal,Negative,High,Rejected,2,THR2409122
HIS,2024-12-03,AlBe Publishing,proof reading,Front Cover,External,Negative,High,Accepted,1,HIS2412031
COM,2023-07-29,Alpha Press,Manuscript,Front Cover,Internal,Negative,High,Accepted,2,COM2307292
ROM,2024-11-17,Gamma Publishing,Typesetting,Front Cover,Internal,Negative,Low,Accepted,1,ROM2411171
ROM,2024-03-07,Delta Inc.,Manuscript,Back Cover,External,Negative,Low,Rejected,1,ROM2403071
COM,2024-11-19,Thomson Press,Manuscript,Reference Section,Internal,Negative,High,Pending,1,COM2411191
POE,2024-08-23,alpha press,Manuscript,Illustrations,Internal,Negative,Medium,Accepted,3,POE2408233
HIS,2023-11-22,Beta books,Binding,Back Cover,External,Negative,High,Revised,1,HIS2311221
COM,2023-12-16,Delta Inc.,Manuscript,Index,Internal,Negative,High,Revised,2,COM2312162
BIO,2024-07-20,Beta books,Printing,Body Text,External,Negative,Low,Revised,1,BIO2407201
FIC,2020-01-01,Beta books,Proofreading,Illustrations,Internal,Negative,Medium,Rejected,1,FIC2409181
POE,2023-01-01,Gamma Publishing,Typesetting,Index,Internal,Negative,High,Addressed,1,POE2301011
POE,2024-06-21,AlBe Publishing,Printing,Back Cover,Internal,Negative,Low,Pending,1,POE2406211
BIO,2024-06-04,Beta books,Binding,Index,Internal,Negative,Medium,Rejected,2,BIO2406042
SCI,2024-09-01,Beta books,Typesetting,Index,Internal,Negative,High,Pending,1,SCI2409011
SCI,2024-03-06,alpha press,Proofreading,Index,Internal,Negative,Medium,Revised,1,SCI2403061
POE,2024-12-29,Thomson Press,Printing,Body Text,Internal,Negative,High,Rejected,1,POE2412291
FIC,2023-09-17,Gamma Publishing,Manuscript,Reference Section,Internal,Negative,Low,Rejected,2,FIC2309172
HIS,2023-01-13,Alpha Press,Printing,Back Cover,Internal,Negative,Low,Addressed,2,HIS2301132
POE,2023-08-22,Alpha Press,Printing,Back Cover,Internal,Negative,High,Revised,1,POE2308221
SCI,2024-03-22,Gamma Publishing,Printing,Body Text,External,Negative,High,Accepted,1,SCI2403221
BIO,2024-05-20,alpha press,Manuscript,Back Cover,External,Negative,Medium,Addressed,3,BIO2405203
POE,2023-05-06,Delta Inc.,Binding,Index,External,Negative,High,Addressed,1,POE2305061
COM,2023-12-06,Thomson Press,Printing,Reference Section,External,Negative,High,Rejected,1,COM2312061
ROM,2023-03-14,Gamma Publishing,Binding,Front Cover,External,Negative,Low,Accepted,1,ROM2303141
SCI,2024-08-13,Beta books,Printing,Back Cover,Internal,Negative,High,Pending,2,SCI2408132
BIO,2023-05-05,Thomson Press,Typesetting,Body Text,External,Negative,Low,,2,BIO2305052
BIO,2023-08-09,Beta Books,Binding,Index,Internal,Negative,High,Pending,1,BIO2308091
SCI,2024-11-02,Beta books,Proofreading,Index,Internal,Negative,Low,Rejected,2,SCI2411022
SCI,2023-04-08,Epsilon Ltd.,Manuscript,Reference Section,Internal,Negative,High,Pending,2,SCI2304082
FIC,2024-12-13,Alpha Press,Manuscript,Front Cover,External,Negative,High,Pending,1,FIC2412131
POE,2023-01-18,Beta Books,Printing,front cover,External,Negative,Medium,Accepted,1,POE2301181
SCI,2024-05-26,Beta books,Printing,Back Cover,External,Negative,Medium,Rejected,2,SCI2405262
FIC,2024-07-21,Beta books,Binding,Index,Internal,Negative,Low,Rejected,1,FIC2407211
FIC,2024-08-04,Beta Books,Proofreading,Illustrations,Internal,Negative,Medium,Addressed,2,FIC2408042
HIS,2023-09-23,Epsilon Ltd.,Proofreading,Back Cover,Internal,Negative,Low,Revised,1,HIS2309231
ROM,2024-05-15,alpha press,Binding,Illustrations,External,Negative,Medium,Revised,1,ROM2405151
FIC,2024-09-18,Epsilon Ltd.,Binding,front cover,Internal,Negative,High,Accepted,2,FIC2409182
BIO,2023-11-10,Beta Books,Printing,Reference Section,External,Negative,Low,Pending,2,BIO2311102
POE,2024-05-04,Thomson Press,Printing,Back Cover,Internal,Negative,Medium,Pending,2,POE2405042
COM,2023-12-31,Beta Books,Manuscript,Reference Section,Internal,Negative,Low,Addressed,1,COM2312311
COM,2024-10-23,AlBe Publishing,Manuscript,Reference Section,Internal,Negative,Low,Revised,1,COM2410231
BIO,2023-07-15,Beta books,Proofreading,Body Text,External,Negative,High,Revised,2,BIO2307152
FIC,2024-05-17,alpha press,Proofreading,Index,External,Negative,High,Revised,3,FIC2405173
POE,2024-08-30,Beta Books,Manuscript,Front Cover,Internal,Negative,Low,Accepted,1,POE2408301
COM,2024-10-12,Alpha Press,Typesetting,Front Cover,Internal,Negative,Medium,Revised,1,COM2410121
BIO,2023-08-12,Beta books,Typesetting,Front Cover,External,Negative,Low,Accepted,3,BIO2308123
FIC,2024-12-01,Beta Books,Manuscript,Back Cover,External,Negative,Low,Addressed,1,FIC2412011
HIS,2023-09-28,Beta Books,Printing,Illustrations,Internal,Negative,Medium,Pending,1,HIS2309281
FIC,2024-04-04,Gamma Publishing,Proofreading,Illustrations,Internal,Negative,Medium,Pending,3,FIC2404043
COM,2024-11-12,Beta books,proof reading,Reference Section,External,Negative,Low,Rejected,1,COM2411121
COM,2024-04-19,Beta Books,Typesetting,Index,External,Negative,High,Pending,2,COM2404192
POE,2024-03-01,Thomson Press,Proofreading,Body Text,Internal,Negative,Medium,Accepted,1,POE2403011
ROM,2024-01-15,Alpha Press,Printing,Illustrations,Internal,Negative,High,,1,ROM2401151
HIS,2023-07-02,AlBe Publishing,Proofreading,Front Cover,Internal,Negative,Medium,Addressed,1,HIS2307021
FIC,2023-12-15,alpha press,Manuscript,Body Text,Internal,Negative,High,Accepted,2,FIC2312152
THR,2024-11-24,Thomson Press,Binding,Front Cover,External,Negative,Medium,Revised,2,THR2411242
HIS,2023-04-29,Beta books,Typesetting,Index,Internal,Negative,Medium,Revised,1,HIS2304291
BIO,2023-11-19,Delta Inc.,Proofreading,Body Text,External,Negative,High,Revised,1,BIO2311191
POE,2023-02-21,Beta Books,Binding,Back Cover,External,Negative,High,Accepted,1,POE2302211
POE,2024-12-22,Alpha Press,Printing,Reference Section,Internal,Negative,High,Pending,2,POE2412222
POE,2024-01-20,Alpha Press,Printing,Illustrations,Internal,Negative,High,Revised,2,POE2401202
SCI,2024-02-05,Alpha Press,Manuscript,Front Cover,External,Negative,Medium,Pending,1,SCI2402051
ROM,2024-07-03,Delta Inc.,Manuscript,Back Cover,Internal,Negative,Medium,Pending,2,ROM2407032
BIO,2023-09-26,Alpha Press,Printing,Reference Section,External,Negative,Low,Rejected,1,BIO2309261
HIS,2024-04-30,alpha press,Proofreading,Body Text,External,Negative,Low,Addressed,1,HIS2404301
COM,2024-12-03,AlBe Publishing,Printing,Back Cover,External,Negative,Low,Revised,2,COM2412032
